name,description,category,school,grade,activities,tags,memberCount,meetingTime,meetingPlace,achievements,isActive
サッカー部,技術向上とチームワークを重視したサッカー部です,Sports,東京高校,1-3年生,練習・試合・合宿,サッカー,運動,技術,25,平日16:00-18:00,グラウンド,県大会優勝,true
野球部,甲子園を目指して日々練習に励む野球部,Sports,東京高校,1-3年生,練習・試合・遠征,野球,甲子園,技術,30,平日15:30-18:30,野球場,地区大会準優勝,true
吹奏楽部,音楽を通じて心を豊かにする吹奏楽部,Culture,東京高校,1-3年生,練習・演奏会・コンクール,音楽,演奏,文化,40,平日16:00-18:00,音楽室,県コンクール金賞,true
美術部,創造性を育む美術部,Culture,東京高校,1-3年生,デッサン・油絵・彫刻,美術,創作,文化,15,平日16:00-17:30,美術室,県展入選,true
科学部,実験と研究を通じて科学の楽しさを学ぶ,Academic,東京高校,1-3年生,実験・研究発表・コンテスト,科学,実験,研究,20,平日16:00-17:30,理科実験室,科学コンテスト入賞,true
書道部,日本の伝統文化を学ぶ書道部,Culture,東京高校,1-3年生,練習・展覧会・競書会,書道,伝統,文化,12,平日16:00-17:30,書道室,全国書道展入選,true
テニス部,個人技術とダブルスの戦術を磨くテニス部,Sports,東京高校,1-3年生,練習・試合・合宿,テニス,運動,技術,18,平日16:00-18:00,テニスコート,地区大会優勝,true
写真部,美しい瞬間を切り取る写真部,Culture,東京高校,1-3年生,撮影・暗室作業・展覧会,写真,芸術,文化,10,平日16:00-17:30,暗室,写真展入選,true
バスケットボール部,スピードとテクニックを重視したバスケットボール部,Sports,東京高校,1-3年生,練習・試合・練習試合,バスケットボール,運動,技術,22,平日16:00-18:00,体育館,県大会出場,true
茶道部,日本の伝統文化と礼儀作法を学ぶ茶道部,Culture,東京高校,1-3年生,茶会・稽古・研究会,茶道,伝統,文化,8,平日16:00-17:30,茶室,茶道大会参加,true
