name,description,category,price,stock
ノートパソコン,高性能なビジネス用ノートパソコン,Electronics,120000,15
スマートフォン,最新のAndroidスマートフォン,Electronics,80000,25
ワイヤレスイヤホン,ノイズキャンセリング機能付き,Electronics,25000,30
デスクチェア,エルゴノミクスデザインのオフィスチェア,Furniture,45000,8
スタンディングデスク,高さ調整可能なスタンディングデスク,Furniture,35000,12
LEDデスクライト,調光機能付きのデスクライト,Furniture,8000,20
プログラミング本,Javaプログラミング入門書,Books,3500,50
デザインブック,UI/UXデザインのベストプラクティス,Books,2800,30
料理本,簡単レシピ集,Books,1500,40
コーヒーメーカー,全自動コーヒーメーカー,Kitchen,15000,10
ミキサー,高性能ブレンダー,Kitchen,12000,15
電子レンジ,コンビネーション電子レンジ,Kitchen,25000,8
